Simulation,Fees,Delta (%)
0,0.0,0.0
1,0.0,
2,10558.0,inf
3,5990.0,inf
4,4970.0,inf
5,11366.0,inf
6,2120.0,inf
7,4370.0,inf
8,5530.0,inf
9,5900.0,inf
10,23148.0,inf
