Simulation,Fees,Delta (%)
0,540.0,0.0
1,0.0,-100.0
2,837.0,55.00000000000001
3,0.0,-100.0
4,180.0,-66.66666666666666
5,630.0,16.666666666666664
6,360.0,-33.33333333333333
7,360.0,-33.33333333333333
8,20.0,-96.29629629629629
9,180.0,-66.66666666666666
10,300.0,-44.44444444444444
