Simulation,Fees,Delta (%)
0,0.0,0.0
1,12130.0,inf
2,4530.0,inf
3,4260.0,inf
4,1260.0,inf
5,4320.0,inf
6,10884.0,inf
7,6540.0,inf
8,9822.0,inf
9,6890.0,inf
10,4410.0,inf
