Simulation,Fees,Delta (%)
0,54891.0,0.0
1,15645.0,-71.4980597912226
2,36356.0,-33.76691989579348
3,11076.0,-79.82182871508991
4,42777.0,-22.0691916707657
5,8974.0,-83.65123608606146
6,31440.0,-42.72285074055856
7,64636.0,17.753365761235905
8,23901.0,-56.45734273378149
9,4914.0,-91.04771273979341
10,9614.0,-82.4852890273451
