ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,443097,-333552,-42.94758636140651,776649.0
1,039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,469353,-307296,-39.56690860350042,776649.0
2,037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,730690,-45959,-5.917602417565721,776649.0
3,03263f34611bc9455452cf32ef31ced3a55b9184e65dee52287cdfdc1493d7dc11,446807,-329842,-42.46989309198879,776649.0
4,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,631690,-144959,-18.664673488281064,776649.0
5,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,587854,-188795,-24.308922048441445,776649.0
6,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,513640,-263009,-33.864590052906784,776649.0
7,032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,643012,-133637,-17.206872087648346,776649.0
8,024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,654423,-122226,-15.737611198881348,776649.0
9,0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,636265,-140384,-18.07560429486164,776649.0
