Simulation,Fees,Delta (%)
0,360.0,0.0
1,630.0,75.0
2,3690.0,925.0
3,2940.0,716.6666666666667
4,810.0,125.0
5,540.0,50.0
6,4319.0,1099.7222222222222
7,5040.0,1300.0
8,938.0,160.55555555555557
9,2080.0,477.77777777777777
10,3420.0,850.0
