Simulation,Fees,Delta (%)
0,0.0,0.0
1,1680.0,inf
2,3880.0,inf
3,1620.0,inf
4,1200.0,inf
5,1320.0,inf
6,6300.0,inf
7,4410.0,inf
8,3000.0,inf
9,15190.0,inf
10,10850.0,inf
