Simulation,Fees,Delta (%)
0,0.0,0.0
1,11280.0,inf
2,51520.0,inf
3,6200.0,inf
4,49320.0,inf
5,10840.0,inf
6,47410.0,inf
7,12962.0,inf
8,10800.0,inf
9,39006.0,inf
10,39340.0,inf
