Simulation,Fees,Delta (%)
0,720.0,0.0
1,180.0,-75.0
2,522.0,-27.500000000000004
3,490.0,-31.944444444444443
4,270.0,-62.5
5,270.0,-62.5
6,360.0,-50.0
7,450.0,-37.5
8,450.0,-37.5
9,270.0,-62.5
10,320.0,-55.55555555555556
