Simulation,Fees,Delta (%)
0,0.0,0.0
1,0.0,
2,200.0,inf
3,20.0,inf
4,0.0,
5,0.0,
6,0.0,
7,0.0,
8,10.0,inf
9,0.0,
10,70.0,inf
