Simulation,Fees,Delta (%)
0,0.0,0.0
1,1120.0,inf
2,5220.0,inf
3,870.0,inf
4,1670.0,inf
5,6370.0,inf
6,4840.0,inf
7,300.0,inf
8,1280.0,inf
9,3340.0,inf
10,11300.0,inf
