Simulation,Ratio,Delta (%)
0,1.6775210397026534e-07,0.0
1,3.334486131878846e-07,98.77462356417871
2,1.9572397479280373e-07,16.674527568069426
3,2.7641388393138465e-07,64.77521139191195
4,1.9571603399559098e-07,16.669793918222535
5,6.126030518319851e-07,265.1835281544792
6,2.212485821367873e-07,31.890198036505335
7,6.083271903416339e-07,262.63461139626725
8,5.031143949306614e-07,199.91540077484822
9,2.529952358761876e-07,50.81494055122664
10,3.35870339065978e-07,100.21825724791637
