Simulation,Fees,Delta (%)
0,0.0,0.0
1,1470.0,inf
2,1500.0,inf
3,2100.0,inf
4,1120.0,inf
5,11270.0,inf
6,1520.0,inf
7,480.0,inf
8,2880.0,inf
9,4840.0,inf
10,720.0,inf
