Simulation,Fees,Delta (%)
0,4040.0,0.0
1,770.0,-80.94059405940595
2,480.0,-88.11881188118812
3,3480.0,-13.861386138613863
4,3690.0,-8.663366336633663
5,558.0,-86.18811881188118
6,4791.0,18.58910891089109
7,10780.0,166.83168316831683
8,1260.0,-68.8118811881188
9,7596.0,88.01980198019803
10,1080.0,-73.26732673267327
