Simulation,Fees,Delta (%)
0,47470.0,0.0
1,3000.0,-93.68021908573836
2,6144.0,-87.05708868759217
3,34560.0,-27.196123867705918
4,26100.0,-45.01790604592374
5,5208.0,-89.0288603328418
6,33130.0,-30.208552770170634
7,63040.0,32.79966294501791
8,16020.0,-66.25236991784284
9,7850.0,-83.46323994101537
10,30187.0,-36.40825784706131
