Simulation,Fees,Delta (%)
0,900.0,0.0
1,1620.0,80.0
2,3240.0,260.0
3,2960.0,228.88888888888889
4,5040.0,459.99999999999994
5,720.0,-20.0
6,2760.0,206.66666666666669
7,8820.0,880.0000000000001
8,3600.0,300.0
9,3630.0,303.3333333333333
10,4349.0,383.22222222222223
