Simulation,Fees,Delta (%)
0,0.0,0.0
1,520.0,inf
2,2800.0,inf
3,260.0,inf
4,6630.0,inf
5,20214.0,inf
6,6840.0,inf
7,3120.0,inf
8,2370.0,inf
9,720.0,inf
10,779.0,inf
