Simulation,Fees,Delta (%)
0,0.0,0.0
1,5290.0,inf
2,5340.0,inf
3,120.0,inf
4,0.0,
5,3630.0,inf
6,5210.0,inf
7,4522.0,inf
8,2870.0,inf
9,0.0,
10,160.0,inf
