ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,137868,111838,429.6504033807146,26030.0
1,03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,78192,52162,200.39185555128697,26030.0
2,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,244161,218131,837.9984633115636,26030.0
3,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,93692,67662,259.9385324625432,26030.0
4,03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,311223,285193,1095.6319631194776,26030.0
5,024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,111664,85634,328.9819439108721,26030.0
6,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,57360,31330,120.36112178255858,26030.0
7,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,279094,253064,972.201306185171,26030.0
8,03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,123236,97206,373.43834037648867,26030.0
9,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,71262,45232,173.76872839031887,26030.0
