ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,1026057,828899,420.42372107649703,197158.0
1,024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,434555,237397,120.40951926880979,197158.0
2,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,200051,2893,1.46735105854188,197158.0
3,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,633650,436492,221.39198003631606,197158.0
4,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,288073,90915,46.11276235303665,197158.0
5,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,1013867,816709,414.24086265837553,197158.0
6,03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,583973,386815,196.19543716207306,197158.0
7,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,324353,127195,64.5142474563548,197158.0
8,03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,582709,385551,195.55432698647786,197158.0
9,032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,720837,523679,265.61387313728073,197158.0
