ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,02fc6bf390208dda96f489491b5c79830c39dfc07c998cc5f469ce3801cd01c5b2,16100,15090,1494.0594059405942,1010.0
1,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,109766,108756,10767.920792079209,1010.0
2,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,428691,427681,42344.653465346535,1010.0
3,02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,128570,127560,12629.70297029703,1010.0
4,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,76507,75497,7474.950495049505,1010.0
5,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,31170,30160,2986.138613861386,1010.0
6,02a98e8c590a1b5602049d6b21d8f4c8861970aa310762f42eae1b2be88372e924,113040,112030,11092.079207920791,1010.0
7,03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,663352,662342,65578.41584158415,1010.0
8,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,20170,19160,1897.029702970297,1010.0
9,03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,20050,19040,1885.148514851485,1010.0
