ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,400872,48169,13.657099599379649,352703.0
1,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,60701,-292002,-82.78976929597991,352703.0
2,02ceb27f3d4e32b83f37dff8bad8cc802dc0f380ca0193e90514ae25bc32c7542e,274973,-77730,-22.038372228191992,352703.0
3,032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,98120,-254583,-72.18055984780396,352703.0
4,022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,105970,-246733,-69.95489122576218,352703.0
5,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,175734,-176969,-50.17507648077844,352703.0
6,024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,142681,-210022,-59.54641724056784,352703.0
7,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,423336,70633,20.026197679067092,352703.0
8,039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,85792,-266911,-75.67585192073784,352703.0
9,0250baf7a558091eb9c93f43d595b795db61bd2b55ca016d8682fd310cb1b81e6c,163037,-189666,-53.77498915518156,352703.0
