ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,181045,181045,0,0.0
1,032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,74341,74341,0,0.0
2,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,124290,124290,0,0.0
3,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,87131,87131,0,0.0
4,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,162330,162330,0,0.0
5,03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,71102,71102,0,0.0
6,039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,47250,47250,0,0.0
7,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,110777,110777,0,0.0
8,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,445624,445624,0,0.0
9,02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,97521,97521,0,0.0
