node,total_fee,capacity,routed_payments,ratio
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,510488,38081460479,170,1.3405158142017908e-05
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,16470,1983636144,23,8.302934008244205e-06
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,82100,1877396733,194,4.3730767480780523e-05
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,29050,1850976387,162,1.569441955285192e-05
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,68631,6550526948,301,1.047717237785799e-05
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,98120,20540215357,345,4.776970362511862e-06
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,29890,1414621170,44,2.112933174893742e-05
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,60523,5136513957,145,1.1782894100291451e-05
0204a91bb5802ad0a799acfd86ef566da03d80cc9e13acb01e680634bf64188a0d,8070,1013882023,16,7.959505955260438e-06
0294fd62bc6f4ad2804dfb01237baaf8b8dd5646cf60639e6586c5a1d9d4ed01f4,6000,594227321,10,1.0097145970843033e-05
031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,45370,1136461122,35,3.992217518198568e-05
026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f,10790,1386051548,13,7.78470325693832e-06
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,42940,2733546034,76,1.5708533701613163e-05
021e7ea08e31a576b4fd242761d701452a8ac98113eac3074c153db85d2dcc7d27,200,213738578,4,9.357225161290256e-07
0376bd2f87ea8376ae5b451f85a4210e4df5ce81b949054288def4c7867640923c,150,60283563,1,2.4882404512155327e-06
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,11080,1488799867,35,7.442236022177183e-06
02f3d9e33a2de53e128ae1821f0cff02f7e8c9b6872d949f0ebb0c8e388bad82ac,2200,1146920100,12,1.918180699771501e-06
037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,14330,2134898847,22,6.712261810500664e-06
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,78190,4167281766,73,1.8762830158962664e-05
02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,4450,1135745876,7,3.918130009569147e-06
039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,61415,4225757269,134,1.4533489760649099e-05
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,99950,1750545611,41,5.7096484302916e-05
0250baf7a558091eb9c93f43d595b795db61bd2b55ca016d8682fd310cb1b81e6c,27020,1402898221,41,1.926012849366925e-05
0299797daa21faa6e4151517b286c41d4c7a8cb21fbfba59ca3bcd21a9f8392bd4,7050,1414592628,7,4.983766959090925e-06
024271a1be2d7a3e2a276b241257be734d843885d252f50575e4c7db2691aedd3a,3030,1286805265,5,2.354668637449195e-06
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,2020,913881254,6,2.210352812423484e-06
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,130041,4825657452,253,2.694783069322592e-05
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,2000,1014506547,30,1.971401767602393e-06
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,6660,1152223505,7,5.78012856976043e-06
02572c2e1b43a78bb060e7d322b033443efc0d8d60fc2b111dd8bb999aa940d1f5,2600,189718947,6,1.3704482557559209e-05
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,10760,879230995,25,1.2237967111248166e-05
025022f660d278b8d90415bdde1b385841b6caf179dc69569e4b55fd5aec70555f,5130,554676620,5,9.248632112887687e-06
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,4540,1352162247,26,3.357585238067958e-06
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,560,1122933514,18,4.98693816702669e-07
032a54b1e9cd2ff8ec5f58915a749cf074e957006e8b4da9c8497fed4b6c6f88dc,270,245401107,3,1.100239535594271e-06
03f3b0ff236bca0cc9cb2c4550ba358462a4892349382e695c538f3e891a6639e5,100,633496996,6,1.57853945056434e-07
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,11830,1653460957,12,7.1546896525842795e-06
0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,1000,886162689,3,1.1284609614160815e-06
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,23718,1156389095,42,2.051039749730604e-05
0203e5b16ebe87b089f22e18752f1f7a66a1bdf77879df8d1c9e8d912dbfb9beb4,300,892983724,4,3.3595237173662084e-07
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,34410,1764777934,49,1.949820390263334e-05
02de11c748f5b25cfd2ce801176d3926bfde4de23b1ff43e692a5b76cf06805e4a,5050,1758722921,28,2.8714017084218122e-06
02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,31691,13931120783,23,2.274834917709722e-06
02150e753d33ecf6d2de4173cc1ce941d9bf8900de7f4407ac3df5e078df91dcce,9770,387574885,15,2.520803173301593e-05
02fe80fb6a2dc0fb6e9bec49c76d048889c91355d4e900fcb026bf095665790325,4850,858987649,29,5.6461812991679e-06
020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c,2700,840395049,5,3.2127747577913204e-06
037e27d212432eaf499e4fb648d996944f3454c094dab36336bac573f82211a335,2020,1732577387,4,1.165893088041325e-06
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,130163,8713234849,35,1.4938539159763212e-05
033b63e4a9931dc151037acbce12f4f8968c86f5655cf102bbfa85a26bd4adc6d9,14982,1475701102,13,1.0152462432734566e-05
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,0,805970426,18,0.0
020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,3661,1115564802,18,3.2817457071400143e-06
029221ee9b72b7b1be2cb09610839bef2ea286ba1d7da9fc184731abb789a8fed0,5148,214050499,9,2.4050399434013932e-05
02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,11720,295135078,13,3.971063039819347e-05
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,5000,889244900,4,5.622748019133986e-06
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,75340,19183452358,55,3.92734313897265e-06
02644f80b5d32ed9a9888690571159692a17d7ead7db2df5124a8e2a72a8447d30,180,169538607,2,1.0617050781831657e-06
0266c9efc6f9492899fde60d2e50ea8d2509a0728daabf23c3707d242204657ad7,2020,140371702,2,1.4390364804439003e-05
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,6010,919072722,18,6.53919962603351e-06
020a1df50b701331a29782093210460b10eee0ac5ef6a01b9c51dff9b8fddf5fb0,6000,283249331,5,2.118275082527909e-05
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,19873,3869153985,37,5.136264950178767e-06
03263f34611bc9455452cf32ef31ced3a55b9184e65dee52287cdfdc1493d7dc11,2000,1213589732,24,1.6480033962581352e-06
033d9e73a183c9714545f292875fb90c4372bddc9c2cc302b265d15e7969a5ed60,1470,1265118589,7,1.1619464078556828e-06
03820714a3f891c7c3ae5e00dbdd77f06ceccc24ddd8c99fadef13ec2eec462cce,200,215969523,1,9.260565899383868e-07
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,7350,1129292040,18,6.508502441936986e-06
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,10000,1160212816,6,8.619108375717166e-06
02242c641dac85a44b04eeddccda2f34bd9dc0f08e2f8db5c9c061c3e5852ac556,622,317665821,6,1.9580324947832523e-06
03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,13480,312591240,17,4.312340934442053e-05
02bb24da3d0fb0793f4918c7599f973cc402f0912ec3fb530470f1fc08bdd6ecb5,20150,1362481098,21,1.4789195996611177e-05
03f5dcf253ca5ab4a8a0ad27bc5d8787ca920610902425b060311530cb511e9545,14140,535034710,15,2.6428191920483065e-05
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,3030,1511997130,12,2.0039720578041044e-06
031f2669adab71548fad4432277a0d90233e3bc07ac29cfb0b3e01bd3fb26cb9fa,3350,349224584,4,9.59268090931422e-06
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,3724,6619676108,10,5.62565288579524e-07
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,17190,1241280573,16,1.3848601495836026e-05
02b515c74f334dee09821bee299fcbd9668182730c5719b25a8f262b28893198b0,3300,1849265563,4,1.7844922146533262e-06
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,41810,8734397330,38,4.786821393663345e-06
035d6f5b496f0a8bd3a05fb40b8bf7423afed11a8f2671a1980f6911b1be1685eb,7500,359566603,5,2.0858444408976435e-05
02abfbe63425b1ba4f245af72a0a85ba16cd13365704655b2abfc13e53ad338e02,0,1470570249,2,0.0
0305f5f4013f6c6eeb097bd8607204ec1f31577a05fae35f0d857c54d3b52e4e45,4560,290755171,6,1.568329802808563e-05
02aace31b8120e29cfc29d991b63fe8614cddd3fbf6148431cc3a68932c363ed29,2020,259435297,2,7.786141760039691e-06
021294fff596e497ad2902cd5f19673e9020953d90625d68c22e91b51a45c032d3,4020,380258500,4,1.0571755792441194e-05
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,0,1171197015,15,0.0
03d1e805c38257b713340049745ff5a15d9ee5d733517a1d48a956815c9482055c,5732,1237508990,7,4.631885542908258e-06
03423790614f023e3c0cdaa654a3578e919947e4c3a14bf5044e7c787ebd11af1a,12793,1479704568,20,8.645644729806633e-06
02b400a39310c6c2791bfbbd7ea4e5799536aa2c867e89b3522d95bef3f9ede994,1800,73000000,3,2.4657534246575342e-05
03355e6b094ea452ea33a453503d19581778f784af4558c1ba620a5aec9de0e40c,1380,532071279,5,2.5936374588638527e-06
02254f26976d6487f7664aa941e006642ac3f3974d20c19f4117069e5803418dbe,180,137322263,2,1.310785273033259e-06
0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a,0,4057415408,1,0.0
03b428ba4b48b524f1fa929203ddc2f0971c2077c2b89bb5b22fd83ed82ac2f7e1,3000,392990054,2,7.63378098113394e-06
02b2ae15001601b74eee8ddbd036315c5fbd415b24f88f24d5266820169dfd13de,0,306780521,1,0.0
02535215135eb832df0f9858ff775bd4ae0b8911c59e2828ff7d03b535b333e149,0,297104180,5,0.0
03dc63047373c13d6512bd2e8d893cb445ea833ea4b6d496249290413d02674851,1800,158000000,3,1.1392405063291139e-05
0296b2db342fcf87ea94d981757fdf4d3e545bd5cef4919f58b5d38dfdd73bf5c9,2760,752543310,8,3.6675630004603987e-06
03ef1f35c48695828f614ac685fd5eead1005641cac453ed31052b0ef6cb959a60,90,431391279,1,2.0862730514308798e-07
029efe15ef5f0fcc2fdd6b910405e78056b28c9b64e1feff5f13b8dce307e67cad,5040,887595210,5,5.678264081663983e-06
0289b70b52a04e951446674bedb571336295a2890ca0079639ebc067076277d571,1580,345591692,4,4.571869164030714e-06
0340f8fa6bc058df204691bc1c965de041e550d8ef0512d22007d4cab7ebd7a536,1000,172483109,1,5.797669150316626e-06
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,9650,2308133333,29,4.18086765700723e-06
03c72f89b660de43fc5c77ef879cbf7846601af88befb80e436242909b14fd0495,900,242727128,1,3.70786737937261e-06
03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9,3030,1373920424,9,2.2053678998224137e-06
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,4040,16172789550,7,2.4980229833016036e-07
03dd09855c3634daa5c7de0146f4d54eb395b51ae422bc86ee1132a0d7ed50e720,600,480172530,1,1.2495508645611192e-06
02f63f49339c8b438c3291ab21e35d1b5642ac2360240068b5ecd3fd5183f2c042,3480,279276863,8,1.2460752969715217e-05
035715b716b8d61b31992256194f119e1cd7f86b5a15f66ca4cc3798d341d6a99a,66,634814177,3,1.0396743234674168e-07
02315fe3619ffdea2561bcacecada87b226723f471a59fdbfec18c4e84bcf785b2,2110,170251586,2,1.2393423459796726e-05
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,4470,720713510,10,6.202187052106183e-06
021f1beed0a32fb740e9c8ea12702dd4371b444a6464368d93a2957b95f8cd2db1,2050,157733259,5,1.2996624890632609e-05
03e81689bfd18d0accb28d720ed222209b1a5f2c6825308772beac75b1fe35d491,630,415871656,3,1.5148904497593363e-06
02f4c77dcf12255ccf705c18b8d6b95e4f884910bf61e8aa21242607193a79da1b,380,490820592,3,7.742136458692018e-07
02c29b89b2121b2c1fa2e5422bc70e0bb7ae7326c7a9d2b796ed6b89cdc5a2871b,180,222760375,2,8.080431719510259e-07
0336bcab33a15ba931790d007b6bc1f604af31f461e7a3de6f608d266cc1973f2f,4812,127726772,2,3.767416904578157e-05
02ceb27f3d4e32b83f37dff8bad8cc802dc0f380ca0193e90514ae25bc32c7542e,3300,193554428,5,1.704946786337536e-05
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,4190,2878381615,7,1.4556791143206354e-06
030f2c70ce2e9a0aa20457f0e26be4f768f5e0e5b12ae81e5814145f52ecc6d1ec,90,239483712,1,3.7580843911422253e-07
031f603ba99047f01eca60d13df72bd8c41d015e9275827a876609eb28f74b956b,50,43700000,1,1.1441647597254004e-06
