ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,02fc6bf390208dda96f489491b5c79830c39dfc07c998cc5f469ce3801cd01c5b2,145632,-400548,-73.33626277051522,546180.0
1,02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,387092,-159088,-29.127393899447068,546180.0
2,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,281802,-264378,-48.40492145446556,546180.0
3,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,660244,114064,20.88395766963272,546180.0
4,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,601331,55151,10.097586876121426,546180.0
5,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,251280,-294900,-53.993189058552126,546180.0
6,02a98e8c590a1b5602049d6b21d8f4c8861970aa310762f42eae1b2be88372e924,384353,-161827,-29.628876927020396,546180.0
7,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,346120,-200060,-36.62895016294994,546180.0
8,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,678996,132816,24.317258046797757,546180.0
9,020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,376484,-169696,-31.069610751034457,546180.0
