ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,02fc6bf390208dda96f489491b5c79830c39dfc07c998cc5f469ce3801cd01c5b2,116268,36418,45.60801502817783,79850.0
1,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,182732,102882,128.84408265497808,79850.0
2,02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,64020,-15830,-19.824671258609893,79850.0
3,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,92174,12324,15.433938634940514,79850.0
4,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,654204,574354,719.2911709455228,79850.0
5,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,247380,167530,209.8058860363181,79850.0
6,039174f846626c6053ba80f5443d0db33da384f1dde135bf7080ba1eec465019c3,262720,182870,229.0169067000626,79850.0
7,03f5dcf253ca5ab4a8a0ad27bc5d8787ca920610902425b060311530cb511e9545,218260,138410,173.33750782717595,79850.0
8,03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,62461,-17389,-21.777082028804006,79850.0
9,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,158960,79110,99.07326236693801,79850.0
