ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,03fd105d7df6595d5a36f016b8ff9ca74e5474e29593c4bba85f4d7ad4663bc5ee,176353,163563,1278.835027365129,12790.0
1,02fc6bf390208dda96f489491b5c79830c39dfc07c998cc5f469ce3801cd01c5b2,52016,39226,306.69272869429244,12790.0
2,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,717192,704402,5507.443315089914,12790.0
3,02ddb472c8edf0624dec5544507b705aae67d42a6cc2db133ba7e843fd5ce90135,90098,77308,604.4409695074277,12790.0
4,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,804259,791469,6188.186082877248,12790.0
5,02a98e8c590a1b5602049d6b21d8f4c8861970aa310762f42eae1b2be88372e924,191970,179180,1400.938232994527,12790.0
6,02d9cc40c92433c44bdc0a65aef373f8cddf9e296ea4fac5e33618d6a48578dcb5,88179,75389,589.4370602032839,12790.0
7,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,156208,143418,1121.3291634089132,12790.0
8,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,266580,253790,1984.2845973416731,12790.0
9,039174f846626c6053ba80f5443d0db33da384f1dde135bf7080ba1eec465019c3,150383,137593,1075.7857701329162,12790.0
