node,total_fee,capacity,routed_payments,ratio
039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,48865,4234145877,134,1.1540698270561735e-05
02fe80fb6a2dc0fb6e9bec49c76d048889c91355d4e900fcb026bf095665790325,3120,858987649,32,3.632182608949247e-06
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,94720,4157281766,93,2.2784118405122313e-05
024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,134351,4826546060,274,2.7835847483863025e-05
026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,73489,1873396733,192,3.922767596712789e-05
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,34780,1850976387,139,1.879008303091875e-05
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,30350,6450526948,262,4.7050419670613245e-06
037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590,19160,2143287455,32,8.939538163815735e-06
020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,450,1120614802,11,4.015652829115495e-07
03ae641aa89c4d2c0034b31bad23a4f80f841d593ddd52f7f35cf7896d0ef8a594,481,138458597,4,3.473962689366266e-06
035f5236d7e6c6d16107c1f86e4514e6ccdd6b2c13c2abc1d7a83cd26ecb4c1d0e,22842,3919153985,44,5.8282986806398724e-06
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,343894,37989849087,127,9.05226022910629e-06
03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a,270182,16023541359,93,1.6861565988859628e-05
02ceb27f3d4e32b83f37dff8bad8cc802dc0f380ca0193e90514ae25bc32c7542e,13109,201943036,14,6.491434544937712e-05
03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6,114081,20660449239,127,5.521709556278831e-06
037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,17313,8734397330,49,1.9821630898946062e-06
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,3060,1488799867,30,2.0553467714677057e-06
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,6100,879230995,30,6.9378809831425474e-06
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,18090,8721623457,57,2.0741551259566146e-06
03c9b47af55d8c13dc4c764e5d0e6a02b7498160f7533f015bf0c107dec00c008b,24446,320979740,32,7.616057013442656e-05
02bb24da3d0fb0793f4918c7599f973cc402f0912ec3fb530470f1fc08bdd6ecb5,27270,1362481098,37,2.0014956567125896e-05
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,4040,1467666642,19,2.7526686812849153e-06
03baa70886d9200af0ffbd3f9e18d96008331c858456b16e3a9b41e735c6208fef,180,377163314,2,4.772468406086813e-07
026e44acf41fcfa19d092a297a7e8452f6ac5eee677ed0f7f2e5d4c7c632467224,2350,424020015,2,5.5421912100069145e-06
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,71609,1764777934,61,4.0576776613300516e-05
03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c,10012,1164777703,33,8.595631573486602e-06
033a77a503c4d33806b41320d53837ab818c937649e30a53a190614c79556d195f,2500,180582160,2,1.3844113947911577e-05
035b710d2c8d25993ddcbe031c0fee5434d5e6fb7a6ed5d438404daa99199537b8,3099,364123881,5,8.510839749068806e-06
02de5965c0de62f0a3a6464b7c1848510661d43df96caba5e868ed7520cc3fa437,0,151603424,2,0.0
02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,1240,1144134484,6,1.083788678114871e-06
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,75200,5236513957,131,1.43606988575816e-05
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,2020,1171197015,19,1.7247311717234867e-06
03501a74753e0f6ae270a1e4e2ffbbc37f7a796360e650c1121c18e116b22ac106,1400,794901794,4,1.7612238525152958e-06
0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,39810,1750545611,42,2.2741481141561642e-05
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,17860,1414621170,35,1.262528822469128e-05
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,10990,1491241407,14,7.369698794851128e-06
03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,1000,1014506547,21,9.857008838011965e-07
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,4400,1653460957,14,2.661084908822555e-06
03ef1f35c48695828f614ac685fd5eead1005641cac453ed31052b0ef6cb959a60,360,431391279,4,8.345092205723519e-07
