ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,0298f6074a454a1f5345cb2a7c6f9fce206cd0bf675d177cdbf0ca7508dd28852f,196900,195890,19395.049504950493,1010.0
1,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2,22170,21160,2095.0495049504952,1010.0
2,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0,270182,269172,26650.69306930693,1010.0
3,03f5dcf253ca5ab4a8a0ad27bc5d8787ca920610902425b060311530cb511e9545,130050,129040,12776.237623762376,1010.0
4,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,74429,73419,7269.207920792079,1010.0
5,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,356244,355234,35171.683168316835,1010.0
6,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,34800,33790,3345.5445544554455,1010.0
7,032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,56890,55880,5532.6732673267325,1010.0
8,039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,98146,97136,9617.425742574258,1010.0
9,02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,40300,39290,3890.09900990099,1010.0
