Simulation,Fees,Delta (%)
0,9090.0,0.0
1,1840.0,-79.75797579757976
2,420.0,-95.37953795379538
3,3300.0,-63.6963696369637
4,2310.0,-74.58745874587459
5,2187.0,-75.94059405940594
6,6240.0,-31.353135313531354
7,810.0,-91.0891089108911
8,8820.0,-2.9702970297029703
9,1750.0,-80.74807480748075
10,1080.0,-88.11881188118812
