Simulation,Fees,Delta (%)
0,540.0,0.0
1,810.0,50.0
2,2880.0,433.3333333333333
3,839.0,55.37037037037037
4,720.0,33.33333333333333
5,3390.0,527.7777777777777
6,3360.0,522.2222222222223
7,2460.0,355.55555555555554
8,270.0,-50.0
9,3450.0,538.8888888888889
10,810.0,50.0
