Simulation,Fees,Delta (%)
0,510.0,0.0
1,430.0,-15.686274509803921
2,610.0,19.607843137254903
3,310.0,-39.21568627450981
4,590.0,15.686274509803921
5,400.0,-21.568627450980394
6,310.0,-39.21568627450981
7,9936.0,1848.2352941176468
8,430.0,-15.686274509803921
9,580.0,13.725490196078432
10,1652.0,223.921568627451
