Simulation,Fees,Delta (%)
0,38841.0,0.0
1,15620.0,-59.784763523081274
2,14888.0,-61.66936999562318
3,29460.0,-24.152313277207075
4,19590.0,-49.56360546844829
5,26334.0,-32.20050977060323
6,16190.0,-58.31724208954455
7,7890.0,-79.68641384104426
8,17192.0,-55.73749388532736
9,63069.0,62.377384722329495
10,4880.0,-87.43595684972065
