Simulation,Fees,Delta (%)
0,1660.0,0.0
1,829.0,-50.06024096385542
2,40.0,-97.59036144578313
3,450.0,-72.89156626506023
4,410.0,-75.30120481927712
5,340.0,-79.51807228915662
6,2740.0,65.06024096385542
7,400.0,-75.90361445783132
8,430.0,-74.09638554216868
9,170.0,-89.7590361445783
10,1840.0,10.843373493975903
