Simulation,Fees,Delta (%)
0,3900.0,0.0
1,7060.0,81.02564102564102
2,0.0,-100.0
3,2810.0,-27.94871794871795
4,2900.0,-25.64102564102564
5,0.0,-100.0
6,3470.0,-11.025641025641026
7,3490.0,-10.512820512820513
8,350.0,-91.02564102564102
9,2620.0,-32.82051282051282
10,2820.0,-27.692307692307693
