Simulation,Fees,Delta (%)
0,45971.0,0.0
1,5105.0,-88.89517304387549
2,6661.0,-85.5104304887864
3,20572.0,-55.25004894389941
4,11584.0,-74.80150529681757
5,59730.0,29.92973831328446
6,4534.0,-90.13726044680342
7,18532.0,-59.68762915751235
8,19474.0,-57.638511235344026
9,52990.0,15.268321333014292
10,22614.0,-50.80811816144961
