Simulation,Fees,Delta (%)
0,55445.0,0.0
1,37202.0,-32.902876724682116
2,7707.0,-86.09973847957436
3,21451.0,-61.31120930651998
4,23581.0,-57.46956443322211
5,76913.0,38.71945170890071
6,48065.0,-13.310487870863016
7,18680.0,-66.30895482009198
8,35526.0,-35.92569212733339
9,11981.0,-78.39119848498513
10,10232.0,-81.54567589503111
