Simulation,Fees,Delta (%)
0,0.0,0.0
1,13350.0,inf
2,71550.0,inf
3,9400.0,inf
4,5040.0,inf
5,15440.0,inf
6,13640.0,inf
7,92120.0,inf
8,59340.0,inf
9,47870.0,inf
10,21840.0,inf
