Simulation,Fees,Delta (%)
0,0.0,0.0
1,63000.0,inf
2,60410.0,inf
3,24720.0,inf
4,131470.0,inf
5,10640.0,inf
6,88380.0,inf
7,74050.0,inf
8,227584.0,inf
9,83110.0,inf
10,93525.0,inf
