Simulation,Fees,Delta (%)
0,630.0,0.0
1,270.0,-57.14285714285714
2,969.0,53.80952380952381
3,500.0,-20.634920634920633
4,360.0,-42.857142857142854
5,1080.0,71.42857142857143
6,450.0,-28.57142857142857
7,730.0,15.873015873015872
8,820.0,30.158730158730158
9,540.0,-14.285714285714285
10,470.0,-25.396825396825395
