ranking,copied_node,new_fees,delta,perc_delta,old_fees
0,035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,125050,-336514,-72.90733246093716,461564.0
1,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,205528,-256036,-55.4713972493522,461564.0
2,024bfaf0cabe7f874fd33ebf7c6f4e5385971fc504ef3f492432e9e3ec77e1b5cf,611070,149506,32.391174355019025,461564.0
3,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69,150010,-311554,-67.49963168704664,461564.0
4,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,541490,79926,17.316341829085456,461564.0
