Simulation,Fees,Delta (%)
0,6750.0,0.0
1,5490.0,-18.666666666666668
2,5220.0,-22.666666666666664
3,5040.0,-25.333333333333336
4,4296.0,-36.355555555555554
5,9330.0,38.22222222222222
6,12940.0,91.7037037037037
7,4230.0,-37.333333333333336
8,9750.0,44.44444444444444
9,5560.0,-17.62962962962963
10,5570.0,-17.48148148148148
